user_id,Salad In The Box,SteakHolder,ANWAR BURGER,สมใจ ลูกชิ้นทอด,น้องแนนหมูปิ้ง,ปังเย็น,เครื่องดื่ม ยำผลไม้ ผลไม้,ข้าวแกงชุดอิ่มอร่อย,ตำยำย่าง อาหารอีสาน ลาบยโส,ศิริรัตน์ โจ้ก ข้าวต้ม,ผัดไท หอยทอด ราดหน้า,ข้าวหน้าเป็ด-ข้าวหมูแดง-ข้าวหมูกรอบ,ข้าวยำไก่ย่าง ข้าวมันไก่ 2 สี,แชมป์ฮั้งเพ้ง,ชาย 4 บะหมี่เกี๊ยว,ร้าน 3 ป. ขาหมู อาหารตามสั่ง,อาหารอิสลาม Halal Food,ร้านอาหารตามสั่งอิ่มอร่อย,พินิจโต้รุ่ง,clusters,
22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,เลือกชมไม่กี่ร้าน
263,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,เลือกชมไม่กี่ร้าน
262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,เลือกชมไม่กี่ร้าน
26,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,3,เลือกชมไม่กี่ร้าน
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,เลือกชมไม่กี่ร้าน
29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,เลือกชมไม่กี่ร้าน
30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,เลือกชมไม่กี่ร้าน
253,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,เลือกชมไม่กี่ร้าน
252,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,เลือกชมไม่กี่ร้าน
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,เลือกชมไม่กี่ร้าน
32,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,3,เลือกชมไม่กี่ร้าน
249,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,เลือกชมไม่กี่ร้าน
34,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,3,เลือกชมไม่กี่ร้าน
245,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,เลือกชมไม่กี่ร้าน
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,เลือกชมไม่กี่ร้าน
38,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,เลือกชมไม่กี่ร้าน
65,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,เลือกชมไม่กี่ร้าน
76,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,เลือกชมไม่กี่ร้าน
71,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,เลือกชมไม่กี่ร้าน
119,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,เลือกชมไม่กี่ร้าน
121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,เลือกชมไม่กี่ร้าน
125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,เลือกชมไม่กี่ร้าน
129,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,3,เลือกชมไม่กี่ร้าน
131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,เลือกชมไม่กี่ร้าน
164,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,เลือกชมไม่กี่ร้าน
132,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,เลือกชมไม่กี่ร้าน
118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,เลือกชมไม่กี่ร้าน
133,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,เลือกชมไม่กี่ร้าน
136,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,3,เลือกชมไม่กี่ร้าน
137,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,เลือกชมไม่กี่ร้าน
155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,เลือกชมไม่กี่ร้าน
139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,เลือกชมไม่กี่ร้าน
140,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,เลือกชมไม่กี่ร้าน
148,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,3,เลือกชมไม่กี่ร้าน
270,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,เลือกชมไม่กี่ร้าน
160,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,เลือกชมไม่กี่ร้าน
66,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,3,เลือกชมไม่กี่ร้าน
117,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,เลือกชมไม่กี่ร้าน
115,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,3,เลือกชมไม่กี่ร้าน
220,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,เลือกชมไม่กี่ร้าน
72,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,3,เลือกชมไม่กี่ร้าน
215,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,3,เลือกชมไม่กี่ร้าน
80,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,เลือกชมไม่กี่ร้าน
82,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,เลือกชมไม่กี่ร้าน
84,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,3,เลือกชมไม่กี่ร้าน
206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,เลือกชมไม่กี่ร้าน
116,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,เลือกชมไม่กี่ร้าน
90,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,3,เลือกชมไม่กี่ร้าน
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,เลือกชมไม่กี่ร้าน
193,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,เลือกชมไม่กี่ร้าน
98,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,เลือกชมไม่กี่ร้าน
99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,เลือกชมไม่กี่ร้าน
186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,เลือกชมไม่กี่ร้าน
